"","nama","harga","seller","terjual","link","waktu.scrape"
"1","Bertolli Extra Virgin Olive Oil / Minyak Zaitun Murni 500 ML BEST SELL","Rp85.000","Food Republic","Terjual 1.779 Produk","https://www.tokopedia.com/foodrepublic/bertolli-extra-virgin-olive-oil-minyak-zaitun-murni-500-ml-best-sell?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D1_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"2","Original Extra Virgin Olive Oil (EVOO) Casa Di Olivia Zaitun For Kids","Rp60.000","Yubyre","Terjual 1.624 Produk","https://www.tokopedia.com/yourbeautystore/original-extra-virgin-olive-oil-evoo-casa-di-olivia-zaitun-for-kids?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D2_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"3","EVOO Baby Olive Oil Casa Di Oliva Olivia For Kids Bayi Minyak Zaitun","Rp58.000","Papamama Babyshop","Terjual 2.161 Produk","https://www.tokopedia.com/papamamababyshop/evoo-baby-olive-oil-casa-di-oliva-olivia-for-kids-bayi-minyak-zaitun?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D3_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"4","Casa di Oliva - Extra Virgin Olive Oil for Kids (EVOO) 250ml","Rp59.000","Chubby Baby Shop","Terjual 1.696 Produk","https://www.tokopedia.com/shopatchubby/casa-di-oliva-extra-virgin-olive-oil-for-kids-evoo-250ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D4_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"5","BEST PRICE CASA DI OLIVA EXTRA VIRGIN OLIVE OIL FOR KIDS","Rp59.900","Whiz World","Terjual 3.115 Produk","https://www.tokopedia.com/whizworld/best-price-casa-di-oliva-extra-virgin-olive-oil-for-kids?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D5_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"6","Minyak Zaitun BORGES Extra Virgin Olive Oil 500 ml - BORGES 500ml","Rp83.500","Lapak Barokah","Terjual 1.337 Produk","https://www.tokopedia.com/lapakbarokah/minyak-zaitun-borges-extra-virgin-olive-oil-500-ml-borges-500ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D6_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"7","Bertolli Extra Light dan Classico Olive Oil 1000ml - Classico","Rp155.000","ceva","Terjual 1.149 Produk","https://www.tokopedia.com/cevaphilia/bertolli-extra-light-dan-classico-olive-oil-1000ml-classico?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D8_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"8","Minyak Zaitun Olive Oil 500ml Asli Tanpa Campuran","Rp59.000","herbalasli","Terjual 2.375 Produk","https://www.tokopedia.com/herbalasli-shop/minyak-zaitun-olive-oil-500ml-asli-tanpa-campuran?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D9_catid%3D2289_bmexp%3D11&whid=0",2020-09-04 08:36:35
"9","Minyak Zaitun Extra Virgin Olive Oil Bertolli 1 LTR","Rp163.000","Food Republic","Terjual 1.282 Produk","https://www.tokopedia.com/foodrepublic/minyak-zaitun-extra-virgin-olive-oil-bertolli-1-ltr?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D10_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
"10","Borges Extra Virgin Olive Oil Minyak Zaitun 500 ml","Rp98.000","HouseHerbal","Terjual 777 Produk","https://www.tokopedia.com/househerbal/borges-extra-virgin-olive-oil-minyak-zaitun-500-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D11_catid%3D1160_bmexp%3D11&whid=0",2020-09-04 08:36:35
